city,option1,Option2
אום אל-פחם,,
אופקים,,
אור יהודה,,
אור עקיבא,,
אילת,,
אלעד,,
אריאל,,
אשדוד,,
אשקלון,,
באקה אל-גרביה,באקה אל-ע'רביה,
באר יעקב,,
באר שבע,,
בית שאן,,
בית שמש,,
ביתר עילית,,
בני ברק,,
בנימינה-גבעת עדה,בנימינה גבעת עדה,בנימינה
בת ים,,
ג'לג'וליה,,
גבעת שמואל,,
גבעתיים,גבעתים,
גני תקווה,גני תקוה,
דימונה,,
הוד השרון,,
הרצליה,,
זכרון יעקב,זיכרון יעקב,
חדרה,,
חולון,,
חיפה,,
חריש,,
טבריה,,
טייבה,,
טירה,,
טירת כרמל,,
טמרה,,
יבנה,,
יהוד-מונוסון,יהוד מונוסון,
יקנעם עילית,יוקנעם עילית,
ירוחם,,
ירושלים,,
כוכב יאיר-צור יגאל,כוכב יאיר צור יגאל,
כפר יונה,,
כפר סבא,,
כפר קאסם,,
כרמיאל,,
לוד,,
מבשרת ציון,,
מגאר,מע'אר,
מגדל העמק,,
מודיעין עילית,מודיעין עלית,
מודיעין-מכבים-רעות,מודיעין מכבים רעות,
מזכרת בתיה,,
מעלה אדומים,,
מעלות-תרשיחא,מעלות תרשיחא,
נהריה,נהרייה,
נוף הגליל,,
נס ציונה,,
נצרת,,
נשר,,
נתיבות,,
נתניה,,
סח'נין,,
עכו,,
עפולה,,
עראבה,,
ערד,,
פרדס חנה-כרכור,פרדס חנה כרכור,
פרדסיה,,
פתח תקווה,פתח תקוה,
צור יצחק,,
צור משה,,
צפת,,
קדימה-צורן,קדימה צורן,קדימה
קלנסווה,קלנסוה,
קציר,,
קצרין,,
קריית אונו,קרית אונו,
קריית אתא,קרית אתא,
קריית ביאליק,קרית ביאליק,
קריית גת,קרית גת,
קריית טבעון,קרית טבעון,
קריית ים,קרית ים,
קריית מוצקין,קרית מוצקין,
קריית מלאכי,קרית מלאכי,
קריית שמונה,קרית שמונה,
ראש העין,,
ראש פינה,,
ראשון לציון,,
רהט,,
רחובות,,
רמלה,,
רמת גן,,
רמת השרון,,
רעננה,,
שדרות,,
שהם,שוהם,
שפרעם,,
תל אביב-יפו,תל אביב - יפו,
תל מונד,,
אבן יהודה,,
אזור,,
